Farm Name,County,Date Founded,Special Recognition
Harmon Farm,Sequatchie,1890,
Harmony Hills,Greene,1905,
Harmsworth Farm,Weakley,1900,
Harold Prater Farm,Blount,1906,
Harper Farm,Obion,1853,
Harrell Farm,Grainger,1883,
Harrell's Farm,Dickson,1875,
Harris Family Farms,Gibson,1911,
Harris Farm,Madison,1905,
Harris Hereford Farm,Wilson,1818,
Harris Hills Farm,Dickson,1920,
Harris Place,Hardeman,1825,
Harris-Lannom Farm,Wilson,1856,
Harrison Bend Farm,Loudon,1849,
Harrison Dairy Farm,Monroe,1901,
Harrison Farm,Rhea,1901,
Hart Family Farm,Henderson,1914,
Hartsaw Cove Farm,Overton,1792,Pioneer Century Farm
Harvest Moon Farm (The Old Field),Sumner,1913,
Harvey Aden Farm,Carroll,1838,
Harvey Family Farm,Houston,1855,
Harvey Farm,Washington,1840,
Harvey Headrick,Sevier,1829,
Harvey Hill,Fayette,1853,
Harville Farm,Smith,1904,
Harwood Heritage Farms,Bledsoe,1908,
Hastings Farm,Dyer,1883,
Hastings Farm,Henry,1905,
Haston Farm,Van Buren,1879,
Haston Farm,Van Buren,1858,
Hatcher Family Dairy,Williamson,1847,
Hatterdale,Sullivan,1825,
Hawkins Farm,Johnson,1924,
Hawkins Farm,Bedford,1896,
Hawthorne Place Farm,Tipton,1833,
Hayes and Hayes Farm,Clay,1902,
Hayes Farm,Greene,1870,
Haynes Family Farm,Madison,1919,
Haywood County Farm,Haywood,1868,
Headrick's Hereford Farm,Sevier,1893,
Henderson Farm,Loudon,1910,
Henderson Heirs Farm,Sevier,1874,
Hendren Farm,Dyer,1881,
Hendrix Farm,Cumberland,1801,
Henry Farm,Henry,1895,
Henry Farm,Blount,1808,
Henry Gill Farm,Robertson,1856,
Henry Gobble Farm,Sevier,1825,
Henry Hereford Farm,Blount,1824,
Henry Madison West Farm,Loudon,1815,
Henson-Pedigo Farm,Clay,1892,
Heritage Farms,Henry,1836,
Heritage Farms,Cocke,1849,
Heritage Hollow Farm (originally Hunter Farm),Cannon,1837,
Herron Creek Farm,Decatur,1846,
Hester Farm,Fayette,1854,
Hester Matthews Farm,McMinn,1851,
Hewitt Farm,Cheatham,1805,
Hezekiah Acres,Moore,1873,
Hickey Farm,Sequatchie,1897,
Hickman Hollow Farm,Jefferson,1883,
Hickory Hill Farm,Dickson,1869,
Hickory Hills,Rutherford,1890,
Hidden Springs Farm,Sumner,1847,
High Oak Farm,Sumner,1870,
High View Farm,Trousdale,1835,
Hill Crest Farm,McMinn,1898,
Hill Echo Farm,Marion,1849,
Hill Farm,Lincoln,1827,
Hill Top Farm,Wilson,1821,
Hill Top Farm,Coffee,1919,Woman Founder
Hillandale Farm,Blount,1909,
Hillcrest,Crockett,1874,
Hillcrest Farm,Trousdale,1794,Pioneer Century Farm
Hilldale Farm,Greene,1830,
Hillis Outfit Farm,Van Buren,1896,
Hills of Home Farm,Obion,1850,
Hillside View,Wilson,1864,
Hilltop Farm,Fayette,1853,
Hillview Acres,Bedford,1857,
Hillview Farm,Obion,1918,
Hillview Farm,Marshall,1843,
Hillview Farm,Trousdale,1895,
Hime Farm,Wayne,1921,
Hinchey Hollow Farm,Jefferson,1873,
Hinton & Hinton Farm,Hardin,1907,
Hinton Haven Farm,Montgomery,1875,
Historic Collinsville,Montgomery,1899,
Hitch Farm,Blount,1895,
Hitchcock Farm,White,1819,
Hiwassee Bend Farm,Bradley,1842,
Hix Farm,Jackson,1917,
Hobdy Farm,Robertson,1825,
Hodges-Mitchell Farm,Fayette,1916,
Hoganswood Farm,Montgomery,1866,
Hoge Farms,Marion,1808,
Holder Farm,Trousdale,1906,
Holland Berry Farm,Dickson,1873,
Holland Farm,Carroll,1829,
Holleman Farm,Smith,1907,
Holliman's Southern Cross Farm,Smith,1872,
Hollingsworth Farm-Four Generations,Van Buren,1881,
Holloway Farm,Putnam,1839,
Hollowell's Farm,Benton,1848,
Holly Tree Farm,Crockett,1904,
Holston Mountain Farm,Sullivan,1881,
Holston View Farm,Hawkins,1795,Pioneer Century Farm
Holt Farm,Gibson,1860,
Holt-Elam Farm,Moore,1854,
Homeplace Farm,Marshall,1821,
Homeplace Farm,Crockett,1869,
Homer Netherton Farm,Putnam,1921,
Homer Taylor Farm,Cumberland,1899,
Homestead Farm,McMinn,1865,
Honey Branch Farm,Lincoln,1897,
Hooper Family Farm,Haywood,1895,
Hooper Farms,Dickson,1906,
Hooper Homestead,Cheatham,1880,
Hopper Farm,Madison,1843,
Horner Farm,Perry,1846,
Horse Creek Farm,Greene,1778,Pioneer Century Farm
House Farm,Lake,1885,
Houston Farm,Henderson,1881,
Houston Farm,Sullivan,1903,
Howard & Vera Wilson Family Farm,Sevier,1870,
Howard Farm,Perry,1821,
Howard Farm,White,1900,
Howard-Dodd's Red Oak Farm,Henry,1896,
Howell Century Farm,Dickson,1860,
Howell Farm,Hamblen,1828,
Howell's Twin Oakes Farm,Perry,1880,
Howells Farm,Stewart,1800,
Huddleston,Wilson,1846,
Huddleston Heritage Farm,Wilson,1897,
Huffstutter Farm,Dyer,1855,
Hugh B. Morrison Farm,Macon,1828,
Humphrey Farm,Giles,1896,
Humphreys Farm,Crockett,1866,
Hunt Farm,Gibson,1901,
Hunt-Beasley Farm,Williamson,1886,
Hunt-Lovin House and Farm,Monroe,1905,
Hunter Cove Farm,Putnam,1814,
Hunter Farm,Dickson,1840,
Hurley Farm,Dyer,1874,
Hurstland Farm,McMinn,1867,
Hutchings Farms,White,1853,
Hutchison Farm,Obion,1908,
Hutchison's Dixie Chicks Farm,Obion,1906,
Hyde Farm,Lauderdale,1886,
Hyder Farm,Putnam,1812,
Ikard's Dogwood Acres,Franklin,1834,
Iler Pointe Farm,Greene,1879,
Indian Brook Farm,Sullivan,1909,
Irwin Farm,Anderson,1867,
Isaac Huddleston Farm,Putnam,1841,
Isaac Oliver Farm,Weakley,1829,
Ivy Hill Farm,Overton,1858,
J & J Farm,Montgomery,1875,
J & J Farms,Tipton,1833,
J & J Ranch,Monroe,1845,
J and J Farm,Greene,1905,
J. B. Nanney Farm,Weakley,1876,
J. C. Balthrop Farm,Robertson,1836,
J. C. Pearson Farm,Claiborne,1825,
J. English Farm,Lincoln,1867,
J. H. Cummings Farm,Sumner,1924,
J. K. Pickens Farm,McMinn,1898,
J. L. Burns Farm,Blount,1849,
J. Lloyd Garner Farm,Blount,1839,
J. M. Bailiff Farm,DeKalb,1875,
J. R. Gamble Farm,Blount,1859,
J. R. York Farm on Cedar Creek,Wilson,1897,
J. Wellington DePriest Farm,Dickson,1835,NR
J.B. Woolsey Farm,Greene,1824,
J.C. Leming Farm,Bedford,1900,
J.D. Campbell Farm,Claiborne,1821,
J.H. Crittenden Farm,McMinn,1841,
J.T. Watts Family Farm,Jackson,1900,
J.W. Maxey Farms,Cheatham,1919,
J.W. Williams Farm,Crockett,1854,
JABBO Acres,Marshall,1906,
Jack Murray Farm,Greene,1829,
Jackson Farm,Cheatham,1806,
Jackson- Winfield Farm,Robertson,1834,
Jackson-Bowen Farms,Dyer,1891,
Jacobs Farm,Coffee,1820,
Jaggers Hill Farm,Maury,1919,
James Blair Farm,Loudon,1799,
James C. Kingins Farm,Stewart,1859,
James D. Whittenburg Farm,Greene,1853,
James Durham Turner Farm,Marshall,1885,
James F. Hatcher Farm,Sevier,1793,Pioneer Century Farm
James Farm,Loudon,1910,
James S. Kemmer Farm,Cumberland,1906,
James W. Long Farm,Robertson,1869,
James's Farm,Gibson,1850,
Jarrell Haun Farm,Hamblen,1818,
Jefferson Farms,Williamson,1860,
Jenkins Farm,Macon,1804,
Jenkins Sunny Slope Farm,Macon,1874,
Jenny-Ben Farm,Greene,1848,
Jernigan Dairy Farm,Robertson,1898,
Jernigan Farm,Rutherford,1851,
Jernigan Farm,Putnam,1901,
Jernigan Farms,Obion,1910,
Jerome D. Reed Farm,Scott,1880,
Jerry Green Farm,Fentress,1859,
Jim and Alice Freeman Gulf Farm,Cocke,1910,
Jim Burnett Farm,Grundy,1870,
Jimmy E. Shearon Sr. Farm,Cheatham,1813,
Jo Ella Kelly Farm,Smith,1834,
Jobe Farm,Stewart,1812,
Joe and Virginia Johnson Farms,Bledsoe,1850,
Joe Carter Farm,Lake,1861,
Joe D. and Estel Smith Reed Farm,Cannon,1904,
Joe Lewis Dairy Farm,Claiborne,1851,
Joe M. Lambert Farm,Lincoln,1905,
Joe Tom Walker Farm,Bedford,1879,
John C. Cate Farm,McMinn,1819,
John C. Kemmer,Cumberland,1879,
John Elam Scruggs,Bedford,1830,
John F. Walker Farm,Wilson,1902,
John F. Willis Farm,Coffee,1813,
John Massey Farm,Lincoln,1905,
John N. Fugate Farm,Claiborne,1799,
Johnny Sample Farm,Gibson,1888,
Johnson Farm,Cheatham,1867,
Johnson Farm,Carroll,1859,
Johnson Farm,Sequatchie,1860,
Johnson Farm,White,1894,
Johnson Farm,Haywood,1875,
Johnson Farm,Grainger,1828,
Johnson Farm,Benton,1918,
Johnson Farm at Paw Paw Creek,Obion,1908,
Johnson Farms,Maury,1898,
Johnson-Burke Farm,Henderson,1916,
Johnsongrass Farm (formerly Lampley Farm),Williamson,1886,
Johnston Farm,Lincoln,1888,
Johnston Farm,Greene,1915,
Jonathan Allred Farm,Overton,1831,
Jones Farm,Obion,1865,
Jones Farm,Rutherford,1876,
Jones Farm,McNairy,1900,
Jones Farm,Carroll,1838,
Jones Hill Farm,Dyer,1891,
Jones-Boswell Farm,Dyer,1892,
Jones-Rogers Farm,Fayette,1881,
Jordan-McIntire Farm,Dickson,1860,
Joseph Francis Connell Sr. Family Farm,Van Buren,1881,
Joseph G. Walker Farm,Wilson,1902,
JOT Farms,White,1858,
Joyner Farms,Obion,1852,
Joyner's Hill Farm,Haywood,1838,
Judd Farm,Putnam,1839,
Julius H. Williams Farm on Fall Creek,Wilson,1818,
Justice Farms,Robertson,1920,
K & M Farm,White,1900,
K.T. Cocke Farm,Montgomery,1858,
Kanah's Place Farm,Sullivan,1833,
Karst Farm,Washington,1870,
Kee Family Farm,Dyer,1909,
Kee-Iver Farm,Benton,1868,
Keefauver Farm,Washington,1803,
Keefe Farm,Lake,1872,
Keeler-McGaha Farm,Sevier,1915,
Keeton Farm,Decatur,1851,
Keith-Dayton Farm,Jackson,1915,
Kell's Farm,Van Buren,1823,
Keller Farm,Lauderdale,1869,
Keller-Blanton Farm,Hardeman,1908,
Kelley Farm,Bradley,1840,
Kelley Farms,Robertson,1907,
Kelly Farm,Bledsoe,1874,
Kendall Homeplace Farm,Henry,1833,
Kennedy Farm,Jackson,1883,
Kennedy Farm,Weakley,1866,
Kennedy Ridge,Weakley,1866,
Kenneth Rhea Family Farm,Greene,1909,
Kenneth Simmons Farm,Claiborne,1852,
Kenneytown Farm,Greene,1850,
Kesterson Farm,Henry,1851,
Key Farm,Obion,1855,
Key Farm,Smith,1852,
Key Farms,Obion,1856,
Kidd Farm,Perry,1852,
Kidd Spears Farm,Coffee,1920,
Kidd-Spray Farm,Lincoln,1901,
Kidd-Wiley Farm,Lincoln,1842,
Kidwell Farm,Grainger,1900,
Kilzer Farm,Smith,1900,
King Farm,Clay,1890,
Kings Chapel Farm,Gibson,1909,
Kings Farms,Sullivan,1782,Pioneer Century Farm
Kingstree Farm,Maury,1810,
Kingswood,Wilson,1839,
Kinney Farm,Tipton,1870,
Kirkland Pleasant Valley Farm,Marshall,1846,
Kirkpatrick Farm,Wilson,1818,
Kirkpatrick Farm,Hawkins,1834,
Kittrell,Smith,1850,
Knight Farm,Bedford,1863,
Knob View Farm,Washington,1848,
Knobblehurst Farm,Wilson,1909,
Knox Farms,Cheatham,1896,
Kreger Farm,Sullivan,1839,
Krisle & Stark Hereford Farm,Robertson,1879,
Kyker Farms,Sevier,1808,
Kyker's Shady Hill Farm,McMinn,1888,
Kyle Farm,Trousdale,1840,
L. Farmer Farm,Blount,1824,
L.H. Burnett Farm,Grundy,1870,
La-Z D Farm,Robertson,1858,
Lafferty Farm,Decatur,1853,
Lagoon Plantation,Haywood,1828,
Lairdland Farm,Giles,1857,
Lamar Farm,Anderson,1851,
Lamb Farm,Marshall,1892,
Lancaster Farm,Smith,1790,Pioneer Century Farm
Lancaster Farms,Gibson,1869,
Lancaster/O'Fallon Farm,Smith,1856,
Land Haven Farm,McMinn,1880,
Landgrant Farm,Claiborne,1830,
Lane Farm,Blount,1898,
Lane Farm,Rutherford,1810,
Lane View Farms,McMinn,1883,
Laneland Farms,Wilson,1906,
Lanier-Smith Farm,Marshall,1847,
Lankford Farm,Lewis,1846,
Larkins Farm,Dickson,1787,Pioneer Century Farm
Larry Tignor Farm,Chester,1877,
Lasater Farm,Coffee,1908,
Latimer Farm,Benton,1883,
Lauderdale Farm,Sumner,1902,
Laurel Creek Farm,Van Buren,1870,
Lawrence Farm,Rutherford,1841,
Lawrence Farm,Macon,1889,
Lawrence Farm,Perry,1900,
Lazy B Farms,Claiborne,1910,Woman Founder
Lazy Branch Farm,Wilson,1879,
Lazy J Farm,Marshall,1901,
Lealon Wyatt Farms,Decatur,1852,
Leaning Cedar Farms,Benton,1919,
Leck Gore Farm,Overton,1870,
Ledford Farm,Overton,1860,
Lee Farms,Henry,1914,
Lee Springs Farm,Overton,1924,Woman Founder
Lee Susong Farm,Greene,1858,
Lee-Jernigan Farm,White,1896,
Leeper Farm,Hamblen,1838,
Leeper Farm,Perry,1911,
Leftwich Bridge Farms,Maury,1919,
Leibrock Farm,Cocke,1886,
Leigh Ann Valley Farm,Obion,1907,
Leslie Farm,McMinn,1840,
Leslie-Stokes Farm,Benton,1881,
Levi Trewhitt Farm,Bradley,1838,
Lewis Beasley Farm,Smith,1803,
Lewis Family Farm I,Washington,1880,
Lewis Family Farm II,Washington,1880,
Lewis Family Farm III,Washington,1880,
Lewis Farm,Carter,1828,
Lewis Farms,Humphreys,1808,
Lick Skillet Farm,Jefferson,1919,
Light House Farm,Dyer,1852,
Light's Farm,Sumner,1866,
Lillard's Branch Farm,Polk,1839,
Limbaugh Farm,Franklin,1909,
Lindavista,Greene,1802,
Lindner Farm,Polk,1867,
Link Farm,Sumner,1822,
Linwood Farm,Wilson,1919,
Lister-Waddell Farm,Greene,1853,
Litchford Farm,Smith,1878,
Little Cove,Cumberland,1866,
Little Farm,Bledsoe,1910,
Little Spring Creek Farm,Hickman,1854,
Little Valley Farm,Hawkins,1852,
Litz Farms,Hamblen,1908,
Lloyds' Shore Farm,Obion,1869,
Loafers Rest,Warren,1888,
Locke Farm,Meigs,1820,
Lockhart Farm,Jefferson,1812,
Locust Guard,Williamson,1800,
Locust Hill Farm,Smith,1853,
Loggins Farm,Dickson,1898,
Lokey/Bomar Farm,Bedford,1861,
Lone Cedar,Lincoln,1856,
Lone Oak Farm,Tipton,1835,
Lone Pine Farm,Washington,1852,
Lone Pine Farm,Wilson,1810,
Long Farm,Blount,1900,
Long Farm,Coffee,1889,
Long Fork Farm (formerly known as Coulston Farm),Greene,1803,
Long Meadow Farm,Hawkins,1791,NR Pioneer Century Farm
Longmire Farm,Anderson,1817,
Longview Farm,Williamson,1897,
Lookout View Farm,Claiborne,1818,
Looper Farm at Dry Hollow,Overton,1879,
Looper-Thompson Farm,Overton,1830,
Lost Mountain Farms,Greene,1840,
Louise Reid Farm,Shelby,1860,
Loveday Family Farm,Sevier,1895,
Loyd's Angus Farm,Bledsoe,1823,
Lucas-Weatherly,Dyer,1890,
Luckett Farm,Hickman,1893,
Luna Farms,Lincoln,1905,
Lunn Family Farm,Dickson,1916,
Lunn-Ragan Farm,Maury,1869,
Luster Farm,Williamson,1906,African American
Lyman S. Pile Farm,Fentress,1899,
Lynn Family Farms,Clay,1907,
Lynn Home Place,Bedford,1903,
Lyonsdale Farm,Hawkins,1806,
M & M Farm,Crockett,1859,
M.E. Trew Farm,McMinn,1836,
M.G. Roberts Poplar Tree Farm,Cocke,1859,
M.J. Swift Farm,Johnson,1871,
Mabry Farm,Jackson,1887,
Magness Farm at Seven Springs,DeKalb,1842,
Maher Farms,Haywood,1899,
Manning Farm,Smith,1826,
Mansell Farm,Putnam,1888,
Mansfield Farm,Weakley,1910,
Maple Crest Farm,Montgomery,1919,
Maple Crest Farm,Williamson,1870,
Maple Grove Farm,Bledsoe,1832,
Maple Hill Farm,Johnson,1902,
Maple Hill Farm,Hamblen,1803,
Maple Hill Farm,Hawkins,1852,
Maple Lawn,Montgomery,1852,
Maple Shade Farm,Hickman,1826,
Maple Valley By Groves,Sumner,1851,
Maple Valley Farm,Washington,1899,
Maplecrest Farm,Shelby,1846,
Maplewood Farm,Williamson,1810,NR
Mardale Acres,Greene,1868,
Mari-Mann Farms,Jefferson,1791,Pioneer Century Farm
Marijac Farms,Lake,1859,
Marks Farm,Montgomery,1899,
Marlin Farm,Rutherford,1855,
Marshall Farm,Davidson,1788,
Marston Farm,Lawrence,1883,
Martin Farm,Blount,1891,
Martin Farm,Roane,1830,
Martin Farms,Hickman,1905,
Martin Farms,Henry,1846,
Martin Homestead,Sumner,1876,
Martin Jesse Towry Farm,Lincoln,1846,
Mason Dairy Farm,McMinn,1902,
Mason Farm,Smith,1892,
Massengill Farm,Grainger,1796,Pioneer Century Farm
Massey Farm,Macon,1851,
Massey Farm,Trousdale,1852,
Massey Farm,Wilson,1835,
Mathis Angus Farm I,Hickman,1903,
Mathis Angus Farm II,Hickman,1905,
Mathis Angus Farms III,Hickman,1918,
Matlock Valley Farms,Dickson,1914,
Matt Gardner Farmstead,Giles,1889,African American NR
Mattie Lou Broyles Snapp Farm,Greene,1778,Pioneer Century Farm
Mattie W. Fowler Farm,Fayette,1843,
May Farms,Perry,1905,
MayArp Farm,Greene,1853,
Mayberry-Garrett Farm,Hickman,1859,
Mayfield Farm,McMinn,1833,
Mayfield Farm,Gibson,1910,
McBee Farm,Knox,1785,Pioneer Century Farm
McBride Farm,Henderson,1906,
McCarty Jones Farm,Union,1877,
McCauley Farm,Montgomery,1833,NR
McConnel Farm,Blount,1807,
McConnico Farm,Haywood,1900,
McCool Brother's Farm,Haywood,1908,
McCulley Easley Family Farm,Sullivan,1782,Pioneer Century Farm
McCulley Family Farm,Sullivan,1782,Pioneer Century Farm
McCullough Farm,Tipton,1866,
McDaniel Family Farm,Wilson,1888,
McDaniel Farm,Henry,1838,
McDaniel Farms,Gibson,1913,
McDonald Craig Farm,Perry,1871,African American NR
McDonald Farm,Blount,1859,
McDonald Farm,Carroll,1854,
"McDonald,Loftis, Marsh Farm",Macon,1903,
"McDougald, Allen Farm",Gibson,1912,
McDow Farm,Tipton,1887,
McGaugh Farm,Obion,1887,
McGee Farm,Putnam,1921,
McGehee-Yeargan Farm,Rutherford,1823,
McKee Farm,Wilson,1878,
McKee Farm,Sumner,1906,
McKenzie Farm,Monroe,1828,
McKeown Billingsley Farm,Meigs,1832,
McKinnie Farm,Hardeman and Fayette,1918,African-American Founder
McKinnon Farm,Chester,1880,
McLemore Farm,Lincoln,1896,
McLennan Place,Tipton,1902,
McMahan Farm,Sevier,1850,National Register
McMurry Farm,Blount,1874,
McNatt Farm,Weakley,1857,
McNeil Farm,Claiborne,1831,
McPeak Farm,White,1858,
McQueen Farm,Loudon,1852,
McReynolds Farm,Bledsoe,1863,
Meadow Brook Farm,McMinn,1824,
Meadow Dale Farm,Bedford,1852,
Meadow View Farms,Benton,1838,
Meadowcrest Farm,Greene,1887,
Meadowdale Farm,Humphreys,1853,
Meadows Brothers Farm,Henderson,1895,
Menees Brothers Century Farm,Montgomery,1889,
Merritt Farm,Giles,1923,
Michael Krouse Farm,Washington,1801,
Midvale Farm,Giles,1830,
Milburn Farm,Greene,1882,
Milky Meade Farm,Sumner,1840,
Mill Creek Farm,Wayne,1904,
Milldale Farms,Jefferson,1857,
Miller Branch Farm,Sullivan,1922,
Miller Farm,Dickson,1881,NR
Miller Farm,Dyer,1880,
Miller Farm,Haywood,1915,
Miller Farm,Warren,1901,
Miller-Drake-Turner Farm,Marshall,1814,
Millrock Hill Farm,Obion,1846,
Minglewood Farm,Crockett,1818,
Mires Farm,Wilson,1853,
Mitchell Farm,Hardeman,1866,
Mitchell Farm,Monroe,1911,
Mitchell Farm,Lincoln,1868,
Mitchell Farm,Campbell,1884,
Mitchell Farms,Washington,1914,
Mize Farm,Giles,1830,
Mizpah Hills Farm,Washington,1818,
Mockingbird Mill Farm,Greene,1794,Pioneer Century Farm
Moffatt Farm,Tipton,1881,
Moffitt Farm,Warren,1825,
Moore Family Farm,Montgomery,1908,
Moore Family Farm,Benton,1870,African-American Founder
Moore Family farm,Lincoln,1850,
Moore Farm,Robertson,1880,
Moore Farm,White,1905,
Moore Farm,Smith,1867,
Moore Farm,Dyer,1918,
Moore Farm,Meigs,1838,
Moore Farm,Hawkins,1834,
Moore Farm,Decatur,1840,
Moore Farm Swindle Creek,Perry,1872,
Moore Parchman Farm,Houston,1901,
Moore's Valley View Farm,McMinn,1835,
Morgan Farm,Grainger,1798,
Morrell Farm,Sullivan,1904,
Morris Angus Farm,Hamblen,1918,
Morris Farm,Haywood,1905,
Morris Farm,Henry,1837,
Moses Ballinger Farm,Jefferson,1795,Pioneer Century Farm
Moses Farm,Marshall,1898,
Mossy's Creek Farm,Hancock,1907,
Mount Farm,Crockett,1860,
Mountain Cove Farm,Franklin,1902,
Mountain Field Farm,Lincoln,1919,
Mountain View Family Farm,Coffee,1916,
Mt. Gilead Farm,Cumberland,1912,
Mud Creek Farms,Gibson,1841,
Muddy Branch Farm,Johnson,1896,
Mule Farmer Ranch,Hickman,1868,
Mullican Farm,Dekalb,1910,Woman Founder
Murley-White Farm,Lauderdale,1902,
Murphy Farm,Sevier,1874,
Murphy Springs Farm,Knox,1797,National Register
Murray Farm,Rutherford,1850c.,
Myers Cove Farm,Warren,1851,
Myers Farm,Monroe,1915,
Mynatt Farm,Union,1779,Pioneer Century Farm
Myracle Farm,Decatur,1885,
N. Don Pearson Farm,Claiborne,1825,
Nance Farm,Jefferson,1874,
Napier Farm,Maury,1887,
Nash Farm at Hickory Nut Point,Putnam,1905,
Nathan J. Walker Farm,Wilson,1902,
Natural Springs Farm,Franklin,1861,
Neal Hollow Farm,Smith,1865,
Neas Farm,Cocke,1885,
Neas Mountain View Farm,Greene,1906,
Neblett Place Farm,Dickson,1893,NR
Neeley Farm,Hickman,1861,
Neely Brothers Farm,Claiborne,1853,
Neely Farm,Claiborne,1875,
Neil Manley Farm,Jefferson,1906,
Nelson Bond's Oakview Farm,Haywood,1887,African American
Nelson Campbell Farm,Claiborne,1907,
Nettle Carrier Angus Farm,Overton,1908,
New Farm,Lauderdale,1869,
New-Williams-Summar Farm,Lauderdale,1869,
Newman Farm,Jefferson,1829,
Newt & Rettie Matthews Farm,Greene,1866,
Nicholas Family Farm,Benton,1947,
Nichols Farm,Montgomery,1900,
Nichols Jersey Farm,Williamson,1909,
Nichols' Creekside Farm,Hickman,1879,
Nicholson-Pardue Farm,Cheatham,1912,
Noah Farm,Franklin,1909,
Noe Farm,Hamblen,1855,
Noland Farms,Dickson,1917,
Norman Farm,Gibson,1847,
Norris Farm,Haywood,1866,
Norrod Farm,Overton,1868,
North Oakdale Farm,Cheatham,1816,
Norton Farm,Gibson,1886,
Norwood Family Farm,Henry,1894,
Nunnelly Farm,Hickman,1844,
O.D. Stubblefield Farm,Bedford,1857,
Oak Haven Farm,Sumner,1793,Pioneer Century Farm
Oak Hill Farms,Tipton,1832,
Oak Thicket Farm,Jefferson,1792,Pioneer Century Farm
Oakcrest Polled Herefords Farm,Crockett,1870,
Oakdale Farm,Sumner,1856,
Oakdale Farm,Cheatham,1816,
"Oaklawn, Fortner-Walton Farm",Tipton,1914,
Oakleaf Farm,Cocke,1902,
Oakley Farm,DeKalb,1875,
Ogg Farm,Weakley,1871,
Ogilvie Farm,Marshall,1851,
Old Bailey Farms,Loudon,1918,
Old Ball Place Farm,Lauderdale,1850,
Old Bohannon Place,McMinn,1859,
Old Browning Place,Gibson,1873,
Old Dr. Love Farm,Henry,1898,
Old Englewood Farm,McMinn,1875,
Old Home Place,Wilson,1888,
Old Lee Long Farm,Lawrence,1858,
Old Loy Home Place,Jefferson,1867,
Old Mill Farm,Fayette,1904,
Old Shannon Farm,Wilson,1887,
Oldham Brothers Farm,Smith,1868,
Oldham Farm,Trousdale,1885,
Olive Farm,Henry,1888,
Oliver Brothers Farm,Weakley,1908,
Orme Farm,Cumberland,1866,
Orr's Green Valley Farm,Marshall,1817,
Osborne Doss Road Farm,Robertson,1867,
Ottinger Farm,Cocke,1894,
Otto Pile Farm,Fentress,1850,
Outlaw Farm,Haywood,1833,
Over Yonder Farm,Lincoln,1810,
Overall Farm,Obion,1873,
Overton Farm,Hardeman,1858,
Overton Hereford Farm,Claiborne,1856,
Owen,Wilson,1846,
Ozburn Hollow Farm,Williamson,1806,
Ozment-Comer Farm,Wilson,1841,
P & Z Farm,Pickett,1900,
P. Swafford Farm,McMinn,1859,
P. W. Welch Farm,Decatur,1850,
P.H. Glaus Farm,Franklin,1869,
P&H Farms,Smith,1918,
Padfield Farm,Robertson,1885,
Page Place Farm,Humphreys,1814,
Paradise Farm,Lauderdale,1825,
Parchman Farm,Houston,1813,
Paris Manor,Gibson,1899,
Parker Farms,Giles,1887,
Parker's Farm,Bedford,1812,
Parkey Farm,Claiborne,1903,
Parkey Farms,Hancock,1826,
Parkhurst Farm,Macon,1880,
Parkison Farm,McMinn,1825,
Parks Farm,Claiborne,1919,
Parks Farm,Humphreys,1873,
Parks Pastures Farm,Moore,1843,
Parr-Worley Farm,Shelby,1892,
Partee Farms,Gibson,1846,
Partlow Farm,Wilson,1903,
Paschal Farm,Smith,1915,
Paschall Farm,Smith,1889,
Paschall Farm,Henry,1868,
Patterson Farm,Perry,1845,
Patterson Farm,Robertson,1850c.,
Patton Farm,Wilson,1852,
Paul A. Tipton Farm,Sevier,1901,
Paul Alexander Farm,Loudon,1872,
Payne Farm,Sumner,1905,
PB Edmonds Farms,Gibson,1858,
Peaceful Valley Farm,Williamson,1905,
Peach Farm,Wilson,1848,
Pearly Gates Farm,Jefferson,1900,
Pearson Farm,Putnam,1856,
Pearson Farm,Haywood,1887,
Pecan Hill Farm,Lauderdale,1901,
Pecan Row Farm,Hardeman,1827,
Peebles Farm,Benton,1822,
Pemberton Farm,Weakley,1874,
Pemberton Farm,Sullivan,1825,NR
Penn Farm,Gibson,1870,
Penn-Wilson Farm,Gibson,1905,
Perdue Farm,Sumner,1815,
Perdue-Hunter Farm,Sumner,1919,
Perkey Farm,Union,1882,
Petty Farm,Fayette,1836,
Phil Gaby and Sons Farm,Greene,1892,
Phillips Family Farm,Smith,1920,
Phillips Farm,Bedford,1910,
Phillips Farm,Smith,1859,
Phillips Farm,Wilson,1801,
Philpot Farm,Lincoln,1866,
Pickett Farm,Lincoln,1918,
Pierce-Leitherland Farm,Obion,1886,
Pigeon Roost Road Farm,Smith,1900,
Pin Hook Farm,Perry,1889,
Pin Oak Farm,Greene,1806,
Pine Hill Angus Farm,Clay,1902,
Pine Hill Farms,Clay,1923,
Pine Springs Farm,Wilson,1810,
Piney River Farm,Dickson,1900,
Pineyhill Farm,Haywood,1876,
Pinkerton Farm,Gibson,1912,
Pioneer Farm,Washington,1855,NR
Pioneer Homestead,Washington,1886,
Pitts Farm,Cocke,1897,
Plain Fields Farm,Haywood,1907,
Pleasant Allen Lax Farm,Henry,1910,
Pleasant Oaks Farm,Humphreys,1853,
Pleasant Valley Farm,Maury,1900,
Pleasant View Farm,Williamson,1848,
Plum Creek Farm,White,1836,
Point Breeze Farm,Smith,1803,
Polly Hill Farm,Smith,1851,
Poor Branch Farm,Overton,1868,
Poor Pride Farm,Jefferson,1920,
Pope Farms,Gibson,1866,
Poplar Hill Acres,Wilson,1861,
Porter Farm,Macon,1894,
